Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-clarkyh-il-100000-n5
Airfoil,clarkyh-il
Reynolds number,100000
Ncrit,5
Mach,0
Max Cl/Cd,49.1801
Max Cl/Cd alpha,5.5
Url,http://airfoiltools.com/polar/csv?polar=xf-clarkyh-il-100000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
8.500,1.1071,0.02656,0.01790,-0.0116,0.1649,1.0000
8.750,1.1182,0.02736,0.01878,-0.0099,0.1391,1.0000
9.000,1.1184,0.02869,0.01987,-0.0071,0.1042,1.0000
9.250,1.1141,0.03057,0.02150,-0.0043,0.0861,1.0000
9.500,1.1129,0.03250,0.02340,-0.0021,0.0738,1.0000
9.750,1.1130,0.03451,0.02545,-0.0004,0.0634,1.0000
10.000,1.1133,0.03661,0.02760,0.0010,0.0553,1.0000
10.250,1.1139,0.03880,0.02984,0.0021,0.0494,1.0000
10.500,1.1140,0.04113,0.03228,0.0030,0.0456,1.0000
10.750,1.1135,0.04364,0.03488,0.0035,0.0427,1.0000
11.000,1.1106,0.04651,0.03781,0.0038,0.0404,1.0000
11.250,1.1060,0.04969,0.04104,0.0039,0.0387,1.0000
11.500,1.1040,0.05271,0.04423,0.0038,0.0371,1.0000
11.750,1.1010,0.05593,0.04758,0.0036,0.0357,1.0000
12.000,1.0974,0.05928,0.05106,0.0032,0.0345,1.0000
12.250,1.0934,0.06275,0.05464,0.0028,0.0335,1.0000
12.500,1.0893,0.06629,0.05828,0.0022,0.0326,1.0000
12.750,1.0849,0.06991,0.06199,0.0016,0.0317,1.0000
13.000,1.0811,0.07345,0.06557,0.0011,0.0308,1.0000
13.250,1.0804,0.07657,0.06875,0.0010,0.0298,1.0000
13.500,1.0800,0.07990,0.07228,0.0004,0.0290,1.0000
13.750,1.0793,0.08334,0.07587,-0.0003,0.0282,1.0000
14.000,1.0787,0.08681,0.07948,-0.0009,0.0275,1.0000
14.250,1.0776,0.09040,0.08321,-0.0016,0.0270,1.0000
14.500,1.0752,0.09428,0.08724,-0.0026,0.0265,1.0000
14.750,1.0718,0.09845,0.09155,-0.0039,0.0260,1.0000
15.000,1.0670,0.10296,0.09620,-0.0055,0.0255,1.0000
15.250,1.0613,0.10772,0.10110,-0.0073,0.0251,1.0000
15.500,1.0548,0.11272,0.10622,-0.0093,0.0247,1.0000
15.750,1.0477,0.11799,0.11162,-0.0116,0.0244,1.0000
16.000,1.0400,0.12351,0.11725,-0.0142,0.0240,1.0000
16.250,1.0310,0.12947,0.12334,-0.0170,0.0237,1.0000
16.500,1.0189,0.13642,0.13044,-0.0206,0.0236,1.0000
16.750,0.9999,0.14566,0.13989,-0.0257,0.0236,1.0000
