Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-usa35b-il-1000000-n5
Airfoil,usa35b-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,113.097
Max Cl/Cd alpha,3.25
Url,http://airfoiltools.com/polar/csv?polar=xf-usa35b-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.750,-0.4664,0.15126,0.14940,-0.0086,1.0000,0.0131
-15.500,-0.4600,0.14803,0.14617,-0.0100,1.0000,0.0134
-14.000,-0.8629,0.03452,0.03188,-0.0835,0.9996,0.0206
-13.750,-0.8468,0.03088,0.02794,-0.0871,0.9942,0.0208
-13.500,-0.8266,0.02855,0.02538,-0.0890,0.9879,0.0209
-13.250,-0.8035,0.02658,0.02321,-0.0907,0.9828,0.0210
-13.000,-0.7819,0.02485,0.02129,-0.0915,0.9754,0.0211
-12.750,-0.7622,0.02270,0.01891,-0.0922,0.9671,0.0213
-12.500,-0.7393,0.02149,0.01757,-0.0924,0.9583,0.0215
-12.250,-0.7166,0.02058,0.01654,-0.0922,0.9482,0.0216
-12.000,-0.6932,0.01980,0.01566,-0.0919,0.9392,0.0217
-11.750,-0.6694,0.01910,0.01486,-0.0916,0.9303,0.0219
-11.500,-0.6451,0.01844,0.01411,-0.0913,0.9217,0.0220
-11.250,-0.6207,0.01782,0.01337,-0.0910,0.9121,0.0221
-11.000,-0.5957,0.01722,0.01267,-0.0908,0.9030,0.0223
-10.750,-0.5705,0.01667,0.01203,-0.0905,0.8940,0.0225
-10.500,-0.5446,0.01618,0.01144,-0.0903,0.8850,0.0227
-10.250,-0.5189,0.01569,0.01084,-0.0901,0.8755,0.0229
-10.000,-0.4930,0.01515,0.01019,-0.0899,0.8650,0.0231
-9.750,-0.4669,0.01463,0.00955,-0.0897,0.8547,0.0233
-9.500,-0.4407,0.01413,0.00894,-0.0895,0.8438,0.0234
-9.250,-0.4140,0.01367,0.00838,-0.0893,0.8336,0.0236
-9.000,-0.3873,0.01323,0.00783,-0.0891,0.8230,0.0238
-8.750,-0.3605,0.01284,0.00733,-0.0890,0.8108,0.0240
-8.500,-0.3334,0.01247,0.00687,-0.0888,0.7977,0.0241
-8.250,-0.3063,0.01214,0.00643,-0.0887,0.7830,0.0243
-8.000,-0.2791,0.01185,0.00603,-0.0885,0.7670,0.0244
-7.750,-0.2518,0.01158,0.00566,-0.0884,0.7496,0.0246
-7.500,-0.2245,0.01135,0.00532,-0.0882,0.7299,0.0247
-7.000,-0.1704,0.01076,0.00449,-0.0878,0.6860,0.0252
-6.750,-0.1431,0.01053,0.00415,-0.0877,0.6656,0.0255
-6.500,-0.1155,0.01034,0.00389,-0.0876,0.6488,0.0258
-6.250,-0.0876,0.01019,0.00368,-0.0876,0.6361,0.0261
-6.000,-0.0595,0.01005,0.00348,-0.0875,0.6252,0.0265
-5.750,-0.0313,0.00990,0.00328,-0.0875,0.6159,0.0269
-5.250,0.0253,0.00962,0.00290,-0.0875,0.5979,0.0275
-5.000,0.0535,0.00951,0.00273,-0.0875,0.5882,0.0279
-4.750,0.0819,0.00940,0.00258,-0.0875,0.5781,0.0282
-4.500,0.1102,0.00931,0.00243,-0.0875,0.5685,0.0286
-4.250,0.1387,0.00922,0.00230,-0.0875,0.5597,0.0288
-4.000,0.1671,0.00912,0.00216,-0.0875,0.5531,0.0293
-3.750,0.1958,0.00899,0.00202,-0.0875,0.5473,0.0300
-3.500,0.2243,0.00890,0.00192,-0.0875,0.5415,0.0308
-3.250,0.2529,0.00884,0.00184,-0.0876,0.5363,0.0316
-3.000,0.2817,0.00877,0.00176,-0.0876,0.5310,0.0325
-2.750,0.3103,0.00872,0.00170,-0.0877,0.5251,0.0335
-2.500,0.3389,0.00868,0.00164,-0.0877,0.5199,0.0354
-2.250,0.3677,0.00861,0.00159,-0.0877,0.5155,0.0379
-2.000,0.3963,0.00856,0.00155,-0.0878,0.5100,0.0427
-1.750,0.4247,0.00850,0.00153,-0.0878,0.5040,0.0577
-1.500,0.4534,0.00843,0.00152,-0.0879,0.4990,0.0747
-1.250,0.4820,0.00839,0.00151,-0.0879,0.4936,0.0881
-1.000,0.5105,0.00836,0.00151,-0.0879,0.4881,0.1057
-0.750,0.5389,0.00822,0.00153,-0.0880,0.4828,0.1605
-0.500,0.5672,0.00812,0.00156,-0.0881,0.4755,0.2134
-0.250,0.5954,0.00805,0.00159,-0.0882,0.4670,0.2620
0.000,0.6232,0.00784,0.00164,-0.0883,0.4569,0.3780
