Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-oa212-il-200000-n5
Airfoil,oa212-il
Reynolds number,200000
Ncrit,5
Mach,0
Max Cl/Cd,59.5476
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-oa212-il-200000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
11.000,1.2014,0.02791,0.01956,-0.0017,0.0461,1.0000
11.250,1.2121,0.02923,0.02095,-0.0008,0.0430,1.0000
11.500,1.2199,0.03082,0.02259,0.0001,0.0407,1.0000
11.750,1.2290,0.03235,0.02421,0.0009,0.0386,1.0000
12.000,1.2366,0.03406,0.02601,0.0016,0.0370,1.0000
12.250,1.2418,0.03603,0.02805,0.0022,0.0356,1.0000
12.500,1.2456,0.03821,0.03030,0.0026,0.0345,1.0000
12.750,1.2508,0.04032,0.03254,0.0030,0.0334,1.0000
13.000,1.2545,0.04264,0.03496,0.0032,0.0323,1.0000
13.250,1.2569,0.04517,0.03758,0.0032,0.0313,1.0000
13.500,1.2571,0.04801,0.04050,0.0030,0.0306,1.0000
13.750,1.2557,0.05112,0.04367,0.0027,0.0299,1.0000
14.000,1.2568,0.05403,0.04672,0.0024,0.0292,1.0000
14.250,1.2567,0.05717,0.04999,0.0018,0.0285,1.0000
14.500,1.2559,0.06051,0.05344,0.0011,0.0280,1.0000
14.750,1.2546,0.06400,0.05703,0.0002,0.0274,1.0000
15.000,1.2528,0.06762,0.06075,-0.0008,0.0270,1.0000
15.250,1.2507,0.07138,0.06459,-0.0019,0.0266,1.0000
15.500,1.2483,0.07520,0.06849,-0.0031,0.0262,1.0000
15.750,1.2458,0.07900,0.07233,-0.0042,0.0258,1.0000
16.000,1.2446,0.08280,0.07626,-0.0054,0.0254,1.0000
16.250,1.2430,0.08670,0.08031,-0.0068,0.0250,1.0000
16.500,1.2411,0.09068,0.08441,-0.0082,0.0245,1.0000
16.750,1.2387,0.09477,0.08862,-0.0097,0.0241,1.0000
17.000,1.2363,0.09891,0.09287,-0.0113,0.0237,1.0000
