Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s1223rtl-il-1000000-n5
Airfoil,s1223rtl-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,106.752
Max Cl/Cd alpha,5.5
Url,http://airfoiltools.com/polar/csv?polar=xf-s1223rtl-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,0.2120,0.09464,0.08989,-0.1343,0.3797,0.0086
-7.500,0.1359,0.01960,0.01432,-0.2124,0.3856,0.0096
-7.250,0.1911,0.01776,0.01219,-0.2212,0.3755,0.0098
-7.000,0.2348,0.01677,0.01099,-0.2260,0.3673,0.0100
-6.750,0.2750,0.01604,0.01007,-0.2295,0.3598,0.0101
-6.500,0.3132,0.01545,0.00934,-0.2323,0.3547,0.0103
-6.250,0.3506,0.01493,0.00867,-0.2348,0.3487,0.0105
-6.000,0.3872,0.01449,0.00808,-0.2370,0.3425,0.0108
-5.750,0.4230,0.01411,0.00756,-0.2389,0.3386,0.0111
-5.500,0.4579,0.01378,0.00713,-0.2405,0.3353,0.0114
-5.250,0.4913,0.01355,0.00679,-0.2417,0.3317,0.0117
-5.000,0.5243,0.01336,0.00648,-0.2428,0.3281,0.0119
-4.750,0.5607,0.01303,0.00605,-0.2448,0.3241,0.0124
-4.500,0.5933,0.01288,0.00583,-0.2457,0.3212,0.0128
-4.250,0.6255,0.01275,0.00565,-0.2466,0.3189,0.0132
-4.000,0.6576,0.01263,0.00547,-0.2473,0.3161,0.0136
-3.750,0.6895,0.01254,0.00530,-0.2481,0.3133,0.0141
-3.500,0.7210,0.01247,0.00516,-0.2487,0.3106,0.0145
-3.250,0.7528,0.01240,0.00501,-0.2494,0.3078,0.0150
-3.000,0.7841,0.01235,0.00492,-0.2500,0.3048,0.0157
-2.750,0.8145,0.01233,0.00486,-0.2504,0.3033,0.0165
-2.500,0.8446,0.01231,0.00480,-0.2507,0.3019,0.0174
-2.250,0.8751,0.01229,0.00475,-0.2511,0.3002,0.0186
-2.000,0.9049,0.01229,0.00473,-0.2513,0.2982,0.0198
-1.750,0.9342,0.01232,0.00471,-0.2514,0.2959,0.0211
-1.500,0.9639,0.01234,0.00470,-0.2517,0.2935,0.0229
-1.250,0.9928,0.01240,0.00471,-0.2517,0.2912,0.0250
-1.000,1.0216,0.01246,0.00474,-0.2517,0.2889,0.0284
-0.750,1.0503,0.01252,0.00479,-0.2517,0.2867,0.0334
-0.500,1.0794,0.01255,0.00484,-0.2518,0.2859,0.0421
-0.250,1.1090,0.01257,0.00490,-0.2521,0.2847,0.0620
0.000,1.1401,0.01256,0.00497,-0.2527,0.2833,0.1073
0.250,1.1715,0.01253,0.00508,-0.2535,0.2817,0.1788
0.500,1.2000,0.01260,0.00520,-0.2535,0.2797,0.2135
0.750,1.2275,0.01271,0.00532,-0.2533,0.2778,0.2352
